,title,publish,view_count,like_count
112,"The Pat McAfee Show | Monday March 7th, 2022",2022-03-07T21:04:05Z,337114,4887
113,"The Pat McAfee Show | Friday March 4th, 2022",2022-03-04T18:06:51Z,314970,6165
114,"The Pat McAfee Show | Thursday March 3rd, 2022",2022-03-03T21:25:37Z,866622,20261
115,"The Pat McAfee Show | Wednesday March 2nd, 2022",2022-03-02T20:48:24Z,293427,5177
116,"The Pat McAfee Show | Tuesday March 1st, 2022",2022-03-01T21:04:29Z,491436,6409
117,"The Pat McAfee Show | Monday February 28th, 2022",2022-02-28T20:18:49Z,300275,5670
118,"The Pat McAfee Show | Friday February 25th, 2022",2022-02-25T20:54:33Z,315312,4899
119,"The Pat McAfee Show | Thursday February 24th, 2022",2022-02-24T20:28:50Z,290514,4814
120,"The Pat McAfee Show | Wednesday February 23rd, 2022",2022-02-23T21:10:18Z,305046,4840
121,"Aaron Rodgers Tells Pat McAfee ""I Can Still Play"" Amid Retirement Speculation",2022-02-22T21:30:03Z,65579,1027
122,"The Pat McAfee Show | Tuesday February 22nd, 2022",2022-02-22T20:27:26Z,667145,15163
123,"The Pat McAfee Show | Monday February 14th, 2022",2022-02-14T20:17:25Z,544084,10013
124,"The Pat McAfee Show Super Bowl LVI $40,000 Coin Toss Watch-along",2022-02-14T03:24:06Z,386255,5373
125,FanDuel $200K Superstar Showdown hosted by Pat McAfee,2022-02-13T04:28:17Z,315252,7240
126,"The Pat McAfee Show | Friday February 11th, 2022",2022-02-11T20:55:19Z,482025,7586
127,"The Pat McAfee Show Radio Row After Hours Spectacular | Thursday February 10th, 2022",2022-02-11T01:14:38Z,275788,8599
128,"The Pat McAfee Show | Thursday February 10th, 2022",2022-02-10T20:58:18Z,412780,6577
129,"The Pat McAfee Show | Wednesday February 9th, 2022",2022-02-09T21:04:46Z,520185,8357
130,"The Pat McAfee Show | Tuesday February 8th, 2022",2022-02-08T20:56:41Z,519639,8680
131,"The Pat McAfee Show | Monday February 7th, 2022",2022-02-07T20:14:36Z,342997,5665
132,"The Pat McAfee Show | Friday February 4th, 2022",2022-02-04T20:47:09Z,364354,5575
133,"The Pat McAfee Show | Wednesday February 2nd, 2022",2022-02-02T20:11:20Z,342629,6048
134,"The Pat McAfee Show | Tuesday February 1st, 2022",2022-02-01T20:45:54Z,456237,6844
135,"The Pat McAfee Show | Monday January 31st, 2022",2022-01-31T21:02:04Z,576155,8242
136,"The Pat McAfee Show | Friday January 28th, 2022",2022-01-28T20:34:25Z,384065,5852
137,"The Pat McAfee Show | Thursday January 27th, 2022",2022-01-27T21:33:10Z,359282,6026
138,"The Pat McAfee Show | Wednesday January 26th, 2022",2022-01-26T21:05:54Z,493747,6732
139,"The Pat McAfee Show | Tuesday January 25th, 2022",2022-01-25T20:19:40Z,489989,10001
140,"The Pat McAfee Show | Monday January 24th, 2022",2022-01-24T20:53:11Z,593196,9114
141,"The Pat McAfee Show | Friday January 21st, 2022",2022-01-21T20:27:59Z,371524,5949
