,title,publish,view_count,like_count,day_of_week,day_name
218,"The Pat McAfee Show | Monday October 4th, 2021",2021-10-04 19:38:17+00:00,367817,5810,0,Monday
219,"The Pat McAfee Show | Friday October 1st, 2021",2021-10-01 18:17:06+00:00,258611,3969,4,Friday
220,"The Pat McAfee Show | Thursday September 30th, 2021",2021-09-30 19:39:19+00:00,229836,3755,3,Thursday
221,"The Pat McAfee Show | Wednesday September 29th, 2021",2021-09-29 19:28:47+00:00,234258,3986,2,Wednesday
222,"The Pat McAfee Show | Tuesday September 28th, 2021",2021-09-28 20:05:27+00:00,409358,6636,1,Tuesday
223,"The Pat McAfee Show | Monday September 27th, 2021",2021-09-27 20:10:33+00:00,372274,5626,0,Monday
224,"The Pat McAfee Show | Friday September 24th, 2021",2021-09-24 18:32:18+00:00,256995,4199,4,Friday
225,"The Pat McAfee Show | Thursday September 23rd, 2021",2021-09-23 19:51:39+00:00,259689,3790,3,Thursday
226,"The Pat McAfee Show | Wednesday September 22nd, 2021",2021-09-22 19:38:15+00:00,260472,4265,2,Wednesday
227,"The Pat McAfee Show | Tuesday September 21st, 2021",2021-09-21 19:40:43+00:00,376079,7062,1,Tuesday
228,"The Pat McAfee Show | Monday September 20th, 2021",2021-09-20 20:07:17+00:00,412097,5895,0,Monday
229,"The Pat McAfee Show | Friday September 17th, 2021",2021-09-17 19:45:37+00:00,253807,3983,4,Friday
230,"The Pat McAfee Show | Thursday September 16th, 2021",2021-09-16 20:19:33+00:00,475961,5200,3,Thursday
231,"The Pat McAfee Show | Wednesday September 15th, 2021",2021-09-15 19:44:00+00:00,254333,4101,2,Wednesday
232,"The Pat McAfee Show | Tuesday September 14th, 2021",2021-09-14 19:36:28+00:00,364353,6710,1,Tuesday
233,"The Pat McAfee Show | Monday September 13th, 2021",2021-09-13 19:33:21+00:00,347356,5871,0,Monday
234,"The Pat McAfee Show | Friday September 10th, 2021",2021-09-10 19:13:16+00:00,376809,5077,4,Friday
235,"The Pat McAfee Show | Thursday September 9th, 2021",2021-09-09 19:43:13+00:00,246058,4000,3,Thursday
236,"The Pat McAfee Show | Wednesday September 8th, 2021",2021-09-08 20:07:07+00:00,285118,4034,2,Wednesday
237,"The Pat McAfee Show | Tuesday September 7th, 2021",2021-09-07 19:47:54+00:00,305872,5582,1,Tuesday
238,"The Pat McAfee Show | Monday September 6th, 2021",2021-09-06 19:47:07+00:00,238931,3692,0,Monday
239,"The Pat McAfee Show | Thursday September 2nd, 2021",2021-09-02 19:30:44+00:00,243589,3780,3,Thursday
240,"The Pat McAfee Show | Wednesday September 1st, 2021",2021-09-01 19:24:42+00:00,224469,3726,2,Wednesday
241,"The Pat McAfee Show | Tuesday August 31st, 2021",2021-08-31 20:28:31+00:00,272569,4113,1,Tuesday
242,"The Pat McAfee Show | Monday August 30th, 2021",2021-08-30 19:44:52+00:00,230909,3809,0,Monday
243,"The Pat McAfee Show | Friday August 27th, 2021",2021-08-27 19:27:00+00:00,236862,3495,4,Friday
244,"The Pat McAfee Show | Thursday August 26th, 2021",2021-08-26 19:27:30+00:00,233789,3896,3,Thursday
245,"The Pat McAfee Show | Wednesday August 25th, 2021",2021-08-25 19:37:47+00:00,282160,5149,2,Wednesday
246,"The Pat McAfee Show | Tuesday August 24th, 2021",2021-08-24 19:56:50+00:00,253827,4321,1,Tuesday
247,"The Pat McAfee Show | Monday August 23rd, 2021",2021-08-23 20:32:46+00:00,250150,4042,0,Monday
248,"The Pat McAfee Show | Friday August 20th, 2021",2021-08-20 20:24:04+00:00,302004,4528,4,Friday
249,"The Pat McAfee Show | Thursday August 19th, 2021",2021-08-19 20:03:36+00:00,204155,3189,3,Thursday
250,"The Pat McAfee Show | Wednesday August 18th, 2021",2021-08-18 19:46:24+00:00,204945,3470,2,Wednesday
251,"The Pat McAfee Show | Tuesday August 17th, 2021",2021-08-17 19:50:00+00:00,253890,3873,1,Tuesday
252,"The Pat McAfee Show | Monday August 16th, 2021",2021-08-16 20:21:54+00:00,319044,3954,0,Monday
253,"The Pat McAfee Show | Friday August 13th, 2021",2021-08-13 18:13:37+00:00,235378,6244,4,Friday
254,"The Pat McAfee Show | Thursday August 12th, 2021",2021-08-12 20:02:11+00:00,217872,3523,3,Thursday
255,"The Pat McAfee Show | Wednesday August 11th, 2021",2021-08-11 20:22:35+00:00,298599,3551,2,Wednesday
256,"The Pat McAfee Show | Tuesday August 10th, 2021",2021-08-10 20:02:32+00:00,270036,3718,1,Tuesday
257,"The Pat McAfee Show | Monday August 9th, 2021",2021-08-09 19:58:45+00:00,259933,4158,0,Monday
258,"The Pat McAfee Show | Friday August 6th, 2021",2021-08-06 19:25:53+00:00,531790,4423,4,Friday
259,"The Pat McAfee Show | Thursday August 5th, 2021",2021-08-05 20:01:13+00:00,263816,3576,3,Thursday
260,"The Pat McAfee Show | Wednesday August 4th, 2021",2021-08-04 19:45:58+00:00,213040,3401,2,Wednesday
261,"The Pat McAfee Show | Tuesday August 3rd, 2021",2021-08-03 19:53:05+00:00,248473,3842,1,Tuesday
262,"The Pat McAfee Show | Monday August 2nd, 2021",2021-08-02 19:46:37+00:00,231065,3695,0,Monday
263,"The Pat McAfee Show | Friday July 30th, 2021",2021-07-30 18:23:54+00:00,233878,3782,4,Friday
264,"The Pat McAfee Show | Thursday July 29th, 2021",2021-07-29 19:34:33+00:00,220578,3820,3,Thursday
265,"The Pat McAfee Show | Wednesday July 28th, 2021",2021-07-28 20:00:55+00:00,261703,3672,2,Wednesday
266,"The Pat McAfee Show | Tuesday July 27th, 2021",2021-07-27 20:31:19+00:00,236231,4046,1,Tuesday
267,"The Pat McAfee Show | Monday July 26th, 2021",2021-07-26 19:50:09+00:00,293974,3941,0,Monday
268,"The Pat McAfee Show | Friday July 23rd, 2021",2021-07-23 19:19:12+00:00,213707,3295,4,Friday
269,"The Pat McAfee Show | Thursday July 22nd, 2021",2021-07-22 20:14:50+00:00,277603,3412,3,Thursday
270,"The Pat McAfee Show | Wednesday July 21st, 2021",2021-07-21 19:10:21+00:00,220317,3606,2,Wednesday
271,"The Pat McAfee Show | Tuesday July 20th, 2021",2021-07-20 20:02:42+00:00,285930,3507,1,Tuesday
